Index,Date,Airline,Flight_Num,Origin,Destination,Air_Time,Distance,Dep_Time,Hour,Delay,Cancelled (Y/N)
1086,1/1/2018,UA,632,ORD,IAD,77,588,8:42,8,2,0
4936,1/1/2018,MQ,3627,ORD,TVC,46,224,8:37,8,2,0
5261,1/1/2018,MQ,3478,ORD,CMI,25,135,8:47,8,2,0
1551,1/1/2018,UA,219,ORD,HNL,517,4243,9:37,9,2,0
13452,1/1/2018,YX,3641,ORD,LGA,91,733,9:02,9,2,0
14342,1/1/2018,AA,2335,ORD,DFW,115,802,13:15,13,2,0
752,1/1/2018,UA,1160,ORD,SNA,237,1726,16:21,16,2,0
1350,1/1/2018,UA,395,ORD,SAN,232,1723,16:32,16,2,0
15809,1/1/2018,AA,1320,ORD,BOS,106,867,18:47,18,2,0
2563,1/1/2018,B6,112,ORD,BOS,110,867,19:46,19,2,0
3747,1/1/2018,EV,4266,ORD,DSM,48,299,19:37,19,2,0
5591,1/1/2018,NK,737,ORD,LAX,256,1744,6:03,6,3,0
15863,1/1/2018,AA,1388,ORD,ATL,86,606,8:47,8,3,0
6883,1/1/2018,OO,3179,ORD,TUL,89,585,9:53,9,3,0
13453,1/1/2018,YX,3642,ORD,SAT,146,1041,9:07,9,3,0
6872,1/1/2018,OO,3167,ORD,ATL,85,606,11:48,11,3,0
202,1/1/2018,UA,2005,ORD,SMF,246,1781,12:25,12,3,0
15159,1/1/2018,AA,186,ORD,LGA,97,733,12:33,12,3,0
901,1/1/2018,UA,810,ORD,SFO,249,1846,13:15,13,3,0
522,1/1/2018,UA,1611,ORD,EWR,92,719,14:33,14,3,0
14356,1/1/2018,AA,2349,ORD,DFW,105,802,16:58,16,3,0
7820,1/1/2018,OO,5365,ORD,BUF,73,474,17:53,17,3,0
14241,1/1/2018,AA,2237,ORD,EGE,141,1007,17:03,17,3,0
15806,1/1/2018,AA,1316,ORD,SMF,246,1781,17:08,17,3,0
8103,1/1/2018,OO,5698,ORD,GEG,219,1498,19:23,19,3,0
1459,1/1/2018,UA,298,ORD,CVG,39,264,21:02,21,3,0
5,1/1/2018,UA,2422,ORD,OMA,62,416,22:44,22,3,0
15747,1/1/2018,AA,1252,ORD,RDU,81,646,8:24,8,4,0
803,1/1/2018,UA,1100,ORD,SJC,253,1829,9:14,9,4,0
4975,1/1/2018,MQ,3657,ORD,JAX,114,864,9:49,9,4,0
15763,1/1/2018,AA,1272,ORD,DEN,132,888,11:59,11,4,0
1270,1/1/2018,UA,463,ORD,LAX,232,1744,12:19,12,4,0
3753,1/1/2018,EV,4273,ORD,TUL,96,585,12:39,12,4,0
15841,1/1/2018,AA,1361,ORD,BDL,96,783,12:24,12,4,0
14226,1/1/2018,AA,2223,ORD,LAX,241,1744,13:24,13,4,0
15149,1/1/2018,AA,168,ORD,RDU,84,646,15:14,15,4,0
13330,1/1/2018,YX,3495,ORD,MSP,62,334,16:09,16,4,0
3606,1/1/2018,EV,4099,ORD,SAV,95,773,17:37,17,4,0
4915,1/1/2018,MQ,3608,ORD,PVD,105,849,18:39,18,4,0
3567,1/1/2018,EV,4037,ORD,CAK,57,343,19:19,19,4,0
14190,1/1/2018,AA,2185,ORD,MSP,61,334,20:53,20,4,0
16075,1/1/2018,AA,2616,ORD,PHL,86,678,21:48,21,4,0
630,1/1/2018,UA,1417,ORD,FLL,154,1182,7:42,7,5,0
5377,1/1/2018,MQ,3802,ORD,IND,30,177,8:40,8,5,0
85,1/1/2018,UA,2133,ORD,LAS,207,1514,9:15,9,5,0
3573,1/1/2018,EV,4046,ORD,PVD,116,849,13:50,13,5,0
5267,1/1/2018,MQ,3699,ORD,MSN,27,108,13:34,13,5,0
8019,1/1/2018,OO,5592,ORD,MSN,28,108,17:40,17,5,0
15701,1/1/2018,AA,1208,ORD,SNA,242,1726,17:15,17,5,0
731,1/1/2018,UA,1185,ORD,MIA,149,1197,19:41,19,5,0
15227,1/1/2018,AA,288,ORD,LGA,98,733,20:35,20,5,0
6854,1/1/2018,OO,3150,ORD,CID,34,196,21:57,21,5,0
728,1/1/2018,UA,1189,ORD,RSW,141,1120,7:36,7,6,0
13454,1/1/2018,YX,3643,ORD,OMA,65,416,9:15,9,6,0
6839,1/1/2018,OO,3138,ORD,COS,133,911,10:26,10,6,0
13504,1/1/2018,YX,3701,ORD,EYW,159,1251,10:39,10,6,0
722,1/1/2018,UA,1196,ORD,SAN,225,1723,18:46,18,6,0
4808,1/1/2018,MQ,3519,ORD,ALB,91,723,18:50,18,6,0
1217,1/1/2018,UA,511,ORD,AUS,138,977,19:45,19,6,0
5435,1/1/2018,MQ,3930,ORD,GSP,72,577,19:06,19,6,0
4961,1/1/2018,MQ,3648,ORD,ALO,37,234,20:31,20,6,0
15042,1/1/2018,AA,2775,ORD,PSP,225,1651,20:21,20,6,0
1076,1/1/2018,UA,640,ORD,PHL,86,678,21:06,21,6,0
15288,1/1/2018,AA,350,ORD,LGA,103,733,10:37,10,7,0
15364,1/1/2018,AA,1409,ORD,MSP,59,334,12:12,12,7,0
7770,1/1/2018,OO,5311,ORD,CMH,51,296,14:36,14,7,0
5230,1/1/2018,MQ,3448,ORD,OKC,99,693,16:37,16,7,0
13860,1/1/2018,AA,618,ORD,CLT,79,599,17:27,17,7,0
14329,1/1/2018,AA,2323,ORD,DCA,84,612,18:32,18,7,0
921,1/1/2018,UA,782,ORD,DFW,121,802,19:30,19,7,0
7847,1/1/2018,OO,5393,ORD,OKC,103,693,19:22,19,7,0
13465,1/1/2018,YX,3655,ORD,PIT,58,413,7:45,7,8,0
14366,1/1/2018,AA,2357,ORD,PIT,60,413,8:53,8,8,0
1696,1/1/2018,AS,139,ORD,ANC,388,2846,9:58,9,8,0
15695,1/1/2018,AA,1205,ORD,BOS,108,867,16:52,16,8,0
14203,1/1/2018,AA,2199,ORD,BDL,97,783,18:58,18,8,0
15691,1/1/2018,AA,1201,ORD,EWR,104,719,18:48,18,8,0
15815,1/1/2018,AA,1330,ORD,CLT,79,599,18:34,18,8,0
